Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
SAP Professional Fundamentals,SAP,https://www.coursera.org/learn/sap-professional-fundamentals,4.7,22,88418,English,Beginner,Course,1 - 3 Months,1,0,0,3,0,11
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,https://www.coursera.org/learn/introduction-tensorflow,4.8,22,386080,English,Intermediate,Course,1 - 4 Weeks,1,0,0,3,0,4
Design a User Experience for Social Good & Prepare for Jobs,Google,https://www.coursera.org/learn/ux-design-jobs,4.8,11,183177,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,16,3
Talent Acquisition,HRCI,https://www.coursera.org/learn/talent-acquisition,4.8,24,73763,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,0,17
SQL for Data Science,"University of California, Davis",https://www.coursera.org/learn/sql-for-data-science,4.6,22,633858,English,Beginner,Course,1 - 4 Weeks,5,1,0,5,0,14
User Experience Research and Design,University of Michigan,https://www.coursera.org/specializations/michiganux,4.7,22,62735,English,Beginner,Specialization,3 - 6 Months,4,2,2,16,0,0
International Women's Health and Human Rights,Stanford University,https://www.coursera.org/learn/womens-health-human-rights,4.9,22,120968,English,Beginner,Course,3 - 6 Months,1,0,0,1,0,21
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,https://www.coursera.org/learn/clinicalsimulations,4.8,22,22525,English,Intermediate,Course,1 - 3 Months,1,0,1,20,0,29
Design and Interpretation of Clinical Trials,Johns Hopkins University,https://www.coursera.org/learn/clinical-trials,4.7,22,147243,English,Mixed,Course,1 - 3 Months,6,4,0,16,0,6
Organizational Leadership,Northwestern University,https://www.coursera.org/specializations/organizational-leadership,4.7,22,52103,English,Intermediate,Specialization,3 - 6 Months,1,4,0,23,0,0
"NoSQL, Big Data, and Spark Foundations",IBM,https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,4.5,22,10909,English,Beginner,Specialization,3 - 6 Months,1,0,0,9,0,0
Managing Cybersecurity,Kennesaw State University,https://www.coursera.org/specializations/managing-cybersecurity,4.8,22,16492,English,Beginner,Specialization,3 - 6 Months,3,2,3,26,0,0
Assets in Accounting,Intuit,https://www.coursera.org/learn/accounting-assets,4.4,24,66998,English,Beginner,Course,1 - 4 Weeks,2,6,1,19,0,17
Gestión de Proyectos de Google,Google,https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google,4.9,11,1807675,English,Beginner,Professional Certificate,3 - 6 Months,1,0,2,10,0,0
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,https://www.coursera.org/specializations/web-design,4.7,24,319751,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Customer Service Fundamentals,Knowledge Accelerators,https://www.coursera.org/learn/customer-service-fundamentals,4.8,22,38996,English,Beginner,Course,1 - 4 Weeks,0,0,0,1,0,25
The AI Awakening: Implications for the Economy and Society,Stanford University,https://www.coursera.org/learn/ai-awakening,4.7,21,4298,English,Beginner,Course,1 - 4 Weeks,2,4,3,9,0,3
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,https://www.coursera.org/learn/build-a-computer,4.9,22,212837,English,Mixed,Course,1 - 3 Months,1,0,2,22,0,0
Dynamic Public Speaking,University of Washington,https://www.coursera.org/specializations/public-speaking,4.7,22,83655,English,Beginner,Specialization,3 - 6 Months,4,0,2,33,0,0
Introduction to Engineering Mechanics,Georgia Institute of Technology,https://www.coursera.org/learn/engineering-mechanics-statics,4.8,22,270493,English,Mixed,Course,1 - 3 Months,3,5,6,14,0,5
Six Sigma Black Belt,Kennesaw State University,https://www.coursera.org/specializations/six-sigma-black-belt,4.6,21,21198,English,Intermediate,Specialization,3 - 6 Months,3,5,6,14,0,0
Nuts and Bolts of U.S. Immigration Law,University of Pennsylvania,https://www.coursera.org/learn/us-immigration-law,4.9,21,9006,English,Intermediate,Course,1 - 4 Weeks,1,0,0,3,0,4
"C, Go, and C++: A Comprehensive Introduction to Programming","University of California, Santa Cruz",https://www.coursera.org/specializations/c-go-c-plus-plus,4.5,21,0,English,Intermediate,Specialization,3 - 6 Months,3,0,0,17,0,0
Coding for Everyone: C and C++,"University of California, Santa Cruz",https://www.coursera.org/specializations/coding-for-everyone,4.5,21,132159,English,Beginner,Specialization,3 - 6 Months,1,6,0,13,0,0
Sports Marketing,Northwestern University,https://www.coursera.org/learn/sports-marketing,4.7,22,49367,English,Intermediate,Course,1 - 3 Months,3,1,3,13,0,6
Fundamentals of Accounting,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/accounting-fundamentals,4.6,22,32504,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Architecting with Google Kubernetes Engine,Google Cloud,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,4.6,0,58492,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
Probabilistic Graphical Models,Stanford University,https://www.coursera.org/specializations/probabilistic-graphical-models,4.6,22,26429,English,Advanced,Specialization,3 - 6 Months,0,0,0,1,0,0
Social Psychology,Wesleyan University,https://www.coursera.org/learn/social-psychology,4.7,22,671583,English,Beginner,Course,1 - 3 Months,1,0,0,14,0,5
The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,https://www.coursera.org/learn/people-management,4.7,22,182525,English,Mixed,Course,1 - 3 Months,1,0,0,22,0,30
Marketing en redes sociales de Meta,Meta,https://www.coursera.org/professional-certificates/marketing-en-redes-sociales-de-facebook,4.8,0,17975,Spanish,Beginner,Professional Certificate,3 - 6 Months,4,0,2,9,0,0
